year,round_number,corners,slow_corners,medium_corners,high_speed_corners
2018,1,14,2,6,6
2018,2,15,7,3,5
2018,3,16,8,5,3
2018,4,20,14,0,6
2018,5,16,7,5,4
2018,6,19,12,5,2
2018,7,14,7,5,2
2018,8,15,6,6,3
2018,9,10,2,3,5
2018,10,18,5,1,12
2018,11,17,4,4,9
2018,12,16,7,4,5
2018,13,19,4,5,10
2018,14,11,4,2,5
2018,15,23,16,3,4
2018,16,18,6,6,6
2018,17,18,4,5,9
2018,18,20,7,3,10
2018,19,17,10,3,4
2018,20,15,6,2,7
2018,21,21,14,1,6
2019,1,14,2,4,8
2019,2,15,6,4,5
2019,3,16,8,5,3
2019,4,20,14,0,6
2019,5,16,7,3,6
2019,6,19,13,5,1
2019,7,14,5,7,2
2019,8,15,8,3,4
2019,9,10,2,2,6
2019,10,18,5,1,12
2019,11,17,4,4,9
2019,12,16,6,5,5
2019,13,19,4,6,9
2019,14,11,4,2,5
2019,15,23,17,2,4
2019,16,18,6,6,6
2019,17,18,4,6,8
2019,18,17,11,4,2
2019,19,20,7,2,11
2019,20,15,6,2,7
2019,21,21,13,2,6
2020,1,10,2,1,7
2020,2,10,4,4,2
2020,3,16,6,5,5
2020,4,18,5,1,12
2020,5,18,5,2,11
2020,6,16,6,6,4
2020,7,19,4,4,11
2020,8,11,4,1,6
2020,9,0,0,0,0
2020,10,18,6,6,6
2020,11,15,8,3,4
2020,12,15,7,3,5
2020,13,19,4,8,7
2020,14,14,11,0,3
2020,15,15,6,4,5
2020,16,0,0,0,0
2020,17,21,12,3,6
2021,1,15,7,3,5
2021,2,19,4,8,7
2021,3,15,7,3,5
2021,4,16,5,7,4
2021,5,19,12,4,3
2021,6,20,14,0,6
2021,7,15,7,5,3
2021,8,10,2,1,7
2021,9,10,2,1,7
2021,10,18,5,2,11
2021,11,16,6,5,5
2021,12,19,8,3,8
2021,13,14,6,2,6
2021,14,11,4,2,5
2021,15,18,9,4,5
2021,16,14,6,5,3
2021,17,20,8,1,11
2021,18,17,11,4,2
2021,19,15,6,3,6
2021,20,16,1,5,10
2021,21,27,3,5,19
2021,22,16,5,5,6
2022,1,15,8,3,4
2022,2,27,3,5,19
2022,3,14,3,4,7
2022,4,19,7,5,7
2022,5,19,11,2,6
2022,6,16,6,6,4
2022,7,19,12,3,4
2022,8,20,14,0,6
2022,9,14,12,0,2
2022,10,18,6,4,8
2022,11,10,2,3,5
2022,12,15,7,5,3
2022,13,16,7,4,5
2022,14,19,4,5,10
2022,15,14,6,2,6
2022,16,11,4,3,4
2022,17,19,16,2,1
2022,18,18,4,5,9
2022,19,20,7,3,10
2022,20,17,11,5,1
2022,21,15,3,2,10
2022,22,16,6,4,6
2023,1,15,8,2,5
2023,2,27,3,7,17
2023,3,14,3,4,7
2023,4,20,14,0,6
2023,5,19,11,2,6
2023,6,19,12,3,4
2023,7,14,3,6,5
2023,8,14,12,0,2
2023,9,10,2,3,5
2023,10,18,5,2,11
2023,11,16,7,4,5
2023,12,19,4,7,8
2023,13,14,6,2,6
2023,14,11,4,3,4
2023,15,19,13,2,4
2023,16,18,4,5,9
2023,17,16,2,4,10
2023,18,20,7,4,9
2023,19,17,11,5,1
2023,20,15,6,2,7
2023,21,17,9,1,7
2023,22,16,5,5,6
2024,1,15,7,3,5
2024,2,27,3,5,19
2024,3,14,3,4,7
2024,4,18,5,3,10
2024,5,16,9,4,3
2024,6,19,11,2,6
2024,7,19,6,5,8
2024,8,19,12,3,4
2024,9,14,9,3,2
2024,10,14,3,6,5
2024,11,10,2,2,6
2024,12,18,5,2,11
2024,13,16,6,5,5
2024,14,19,7,4,8
2024,15,14,6,1,7
2024,16,11,4,2,5
2024,17,20,14,0,6
2024,18,19,10,5,4
2024,19,20,7,2,11
2024,20,17,11,4,2
2024,21,15,8,5,2
2024,22,17,9,1,7
2024,23,16,1,5,10
2024,24,16,7,3,6
2025,1,14,3,3,8
2025,2,16,8,5,3
2025,3,18,3,6,9
2025,4,15,8,2,5
2025,5,27,3,7,17
2025,6,19,11,1,7
2025,7,19,4,8,7
2025,8,19,12,3,4
2025,9,14,3,6,5
2025,10,14,8,4,2
2025,11,10,2,1,7
2025,12,18,5,2,11
2025,13,19,4,4,11
2025,14,16,6,5,5
2025,15,14,5,1,8
2025,16,11,4,2,5
2025,17,20,15,0,5
2025,18,19,9,6,4
2025,20,17,11,5,1
2025,21,15,6,2,7
2025,22,17,10,2,5
2025,23,16,1,5,10
2025,24,16,5,5,6
2025,19,20,7,2,11
