season,round,constructor,rating_mu,rating_sig,perf_score,place
1950,1,Alfa Romeo,1800,171,1857,0
1950,1,Alta,1200,171,1143,4
1950,1,ERA,1500,171,1500,2
1950,1,Maserati,1371,171,1346,3
1950,1,Talbot-Lago,1629,171,1654,1
1950,2,Alfa Romeo,1861,130,1931,0
1950,2,Cooper,1181,171,1119,6
1950,2,ERA,1511,130,1523,3
1950,2,Ferrari,1722,171,1764,1
1950,2,Maserati,1487,130,1616,2
1950,2,Simca,1309,171,1273,5
1950,2,Talbot-Lago,1536,130,1433,4
1950,3,Adams,1132,171,1060,14
1950,3,Deidt,1867,171,1939,1
1950,3,Ewing,1492,171,1491,8
1950,3,Kurtis Kraft,2003,171,2105,0
1950,3,Langley,1532,171,1538,7
1950,3,Lesovsky,1717,171,1758,3
1950,3,Marchese,1616,171,1638,5
1950,3,Maserati,1464,111,1432,9
1950,3,Moore,1782,171,1836,2
1950,3,Nichels,1663,171,1694,4
1950,3,Olson,1334,171,1303,11
1950,3,Rae,1381,171,1359,10
1950,3,Snowberger,1217,171,1162,13
1950,3,Stevens,1573,171,1587,6
1950,3,Watson,996,171,894,15
1950,3,Wetteroth,1281,171,1239,12
1950,4,Alfa Romeo,1884,111,1928,0
1950,4,Ferrari,1569,130,1410,3
1950,4,Maserati,1480,100,1514,2
1950,4,Talbot-Lago,1589,111,1676,1
1950,5,Alfa Romeo,1896,100,1924,0
1950,5,Alta,1280,130,1359,3
1950,5,Ferrari,1561,111,1553,2
1950,5,Maserati,1429,94,1271,4
1950,5,Talbot-Lago,1617,100,1677,1
1950,6,Alfa Romeo,1905,94,1932,0
1950,6,Ferrari,1600,100,1676,1
1950,6,Maserati,1392,89,1282,4
1950,6,Simca,1413,130,1524,2
1950,6,Talbot-Lago,1577,94,1466,3
1950,7,Alfa Romeo,1916,89,1956,0
1950,7,ERA,1483,111,1429,4
1950,7,Ferrari,1635,94,1727,1
1950,7,Maserati,1418,86,1496,3
1950,7,Milano,1212,171,1156,6
1950,7,Simca,1374,111,1314,5
1950,7,Talbot-Lago,1588,89,1618,2
1951,1,Alfa Romeo,1928,86,1971,0
1951,1,Ferrari,1661,89,1736,1
1951,1,HWM,1500,171,1500,3
1951,1,Maserati,1452,84,1571,2
1951,1,Talbot-Lago,1551,86,1424,4
1951,1,Veritas,1248,171,1200,5
1951,2,Bromme,1465,171,1458,9
1951,2,Deidt,1825,130,1783,4
1951,2,Hall,1575,171,1589,7
1951,2,Kurtis Kraft,2077,130,2157,0
1951,2,Kuzma,1659,171,1690,5
1951,2,Lesovsky,1539,130,1352,11
1951,2,Marchese,1579,130,1538,8
1951,2,Maserati,1404,83,1213,12
1951,2,Moore,1815,130,1851,3
