season,round,driver,rating_mu
1950,1,bira,1455.39
1950,1,cabantous,1622.79
1950,1,chiron,1391.37
1950,1,claes,1502.28
1950,1,crossley,1423.6
1950,1,etancelin,1563.31
1950,1,fagioli,1652.03
1950,1,fangio,1486.76
1950,1,farina,1666.54
1950,1,fry,1533.0
1950,1,gerard,1593.23
1950,1,graffenried,1407.54
1950,1,hampshire,1548.21
1950,1,harrison,1578.32
1950,1,kelly,1471.13
1950,1,leslie_johnson,1325.66
1950,1,martin,1375.1
1950,1,murray,1439.55
1950,1,peter_walker,1342.24
1950,1,reg_parnell,1637.45
1950,1,rolt,1358.72
1950,1,rosier,1608.06
1950,1,shawe_taylor,1517.69
1950,2,ascari,1649.55
1950,2,bira,1577.62
1950,2,chiron,1573.43
1950,2,claes,1573.07
1950,2,etancelin,1575.46
1950,2,fagioli,1579.1
1950,2,fangio,1657.42
1950,2,farina,1602.38
1950,2,gerard,1639.1
1950,2,gonzalez,1525.07
1950,2,graffenried,1395.33
1950,2,harrison,1457.41
1950,2,manzon,1464.53
1950,2,pian,1347.36
1950,2,rol,1398.13
1950,2,rosier,1539.43
1950,2,schell,1381.3
1950,2,sommer,1617.9
1950,2,trintignant,1430.74
1950,2,villoresi,1556.13
1950,2,whitehead,1364.38
1950,3,ader,1438.16
1950,3,agabashian,1333.94
1950,3,banks,1394.19
1950,3,bettenhausen,1367.59
1950,3,bettenhausen,1367.59
1950,3,cantrell,1349.18
1950,3,chitwood,1667.97
1950,3,darter,1577.1
1950,3,davies,1509.07
1950,3,dick_rathmann,1273.72
1950,3,dinsmore,1257.89
1950,3,faulkner,1642.47
1950,3,flaherty,1603.55
1950,3,fohr,1590.38
1950,3,george_connor,1629.59
1950,3,green,1687.66
1950,3,hanks,1303.14
1950,3,hartley,1522.9
1950,3,hellings,1563.72
1950,3,holland,1712.9
1950,3,holmes,1423.62
1950,3,hoyt,1452.57
1950,3,jackson,1318.59
1950,3,levrett,1364.3
1950,3,mcdowell,1495.12
1950,3,mcgrath,1550.22
1950,3,parsons,1725.44
1950,3,paul_russo,1616.62
1950,3,rathmann,1408.96
1950,3,rose,1700.31
1950,3,ruttman,1536.62
1950,3,schindler,1379.3
1950,3,wallard,1655.26
1950,3,walt_brown,1481.06
1950,3,webb,1466.87
1950,4,ascari,1482.17
1950,4,bira,1656.41
1950,4,bonetto,1593.43
1950,4,branca,1492.63
1950,4,cabantous,1449.92
1950,4,chiron,1569.48
1950,4,claes,1553.05
1950,4,etancelin,1505.53
1950,4,fagioli,1689.29
1950,4,fangio,1570.88
1950,4,farina,1719.49
1950,4,graffenried,1512.59
1950,4,martin,1363.94
1950,4,pagani,1559.46
1950,4,rosier,1649.19
1950,4,schell,1469.27
1950,4,sommer,1496.37
1950,4,villoresi,1442.93
1950,5,ascari,1542.82
1950,5,branca,1462.27
1950,5,cabantous,1361.52
1950,5,chaboud,1449.67
1950,5,claes,1538.79
1950,5,crossley,1432.47
1950,5,etancelin,1417.99
1950,5,fagioli,1736.82
1950,5,fangio,1668.56
1950,5,farina,1725.33
1950,5,levegh,1519.92
1950,5,rosier,1691.06
1950,5,sommer,1429.48
1950,5,villoresi,1498.34
1950,6,bonetto,1546.14
1950,6,cabantous,1442.29
1950,6,chaboud,1556.22
1950,6,chiron,1451.22
1950,6,claes,1498.49
1950,6,etancelin,1554.62
1950,6,fagioli,1801.43
1950,6,fangio,1772.19
1950,6,farina,1675.22
1950,6,gonzalez,1374.42
1950,6,hampshire,1422.45
1950,6,levegh,1519.64
1950,6,manzon,1598.97
1950,6,pozzi,1556.25
1950,6,reg_parnell,1524.04
1950,6,rol,1366.71
1950,6,rosier,1588.41
1950,6,rosier,1588.41
1950,6,sommer,1334.58
1950,6,whitehead,1556.53
1950,7,ascari,1569.32
1950,7,ascari,1569.32
1950,7,biondetti,1448.76
1950,7,bira,1408.02
1950,7,bonetto,1327.41
1950,7,chiron,1361.68
1950,7,claes,1476.91
1950,7,comotti,1417.38
1950,7,etancelin,1680.98
1950,7,fagioli,1841.29
1950,7,fangio,1606.14
1950,7,fangio,1606.14
1950,7,farina,1810.62
1950,7,graffenried,1646.76
1950,7,guy_mairesse,1563.91
1950,7,harrison,1576.57
1950,7,levegh,1514.89
1950,7,louveau,1433.12
1950,7,manzon,1397.58
1950,7,murray,1583.81
1950,7,pietsch,1322.16
1950,7,rol,1486.4
1950,7,rosier,1711.56
1950,7,sanesi,1368.44
1950,7,serafini,1705.49
1950,7,sommer,1502.66
1950,7,taruffi,1520.97
1950,7,trintignant,1368.36
1950,7,whitehead,1652.49
1951,1,abecassis,1418.05
1951,1,ascari,1633.72
1951,1,cabantous,1367.34
1951,1,chiron,1496.76
1951,1,claes,1469.84
1951,1,etancelin,1635.91
1951,1,fangio,1732.88
1951,1,farina,1836.34
1951,1,fischer,1516.04
1951,1,gonzalez,1290.77
1951,1,graffenried,1695.26
1951,1,guy_mairesse,1503.03
1951,1,hirt,1348.9
1951,1,louveau,1396.12
1951,1,moss,1560.91
1951,1,rosier,1669.67
1951,1,sanesi,1547.27
1951,1,schell,1482.03
1951,1,taruffi,1665.93
1951,1,villoresi,1382.94
1951,1,whitehead,1537.5
1951,2,agabashian,1433.89
1951,2,ayulo,1694.34
1951,2,ball,1667.91
1951,2,banks,1611.26
1951,2,bettenhausen,1560.33
1951,2,darter,1658.72
1951,2,davies,1520.28
1951,2,dinsmore,1293.99
1951,2,faulkner,1586.32
1951,2,forberg,1640.25
1951,2,force,1585.68
1951,2,george_connor,1360.32
1951,2,green,1504.48
1951,2,griffith,1340.36
1951,2,hanks,1490.8
1951,2,hellings,1320.63
1951,2,james,1263.92
1951,2,linden,1681.15
1951,2,mackey,1472.38
1951,2,mcdowell,1277.83
1951,2,mcgrath,1728.95
1951,2,miller,1386.23
1951,2,nalon,1599.3
1951,2,nazaruk,1720.13
1951,2,parsons,1532.65
1951,2,rose,1623.49
1951,2,ruttman,1432.56
1951,2,scarborough,1486.73
1951,2,schindler,1507.56
1951,2,stevenson,1457.93
1951,2,vukovich,1324.92
1951,2,wallard,1805.3
1951,2,walt_brown,1363.43
1951,2,ward,1355.69
1951,3,andre_pilette,1538.24
1951,3,ascari,1704.85
1951,3,cabantous,1460.34
1951,3,chiron,1465.45
1951,3,claes,1498.7
1951,3,etancelin,1510.83
1951,3,fangio,1650.88
1951,3,farina,1876.28
1951,3,levegh,1512.82
1951,3,rosier,1695.29
1951,3,sanesi,1483.28
1951,3,taruffi,1549.31
1951,3,villoresi,1507.23
